name,id,origin date,status,type,address
"CAMPUS YELLOW PAGES, LLC",0504116,1994-08-08,Active,Domestic Limited Liability Company,"79 HIGH WOOD ROAD, WEST HARTFORD, CT 06117"
"CONNECTICUT HISPANIC YELLOW PAGES, INC. THE",0269245,1992-01-10,Active,Corporation,"50-G WESTON ST, HARTFORD, CT 06119"
"DIVCO YELLOW BRICK I, LLC",1000700,2010-04-05,Active,Foreign Limited Liability Company,"C/O CORPORATION TRUST, 1209 ORANGE STREET, WILMINGTON, DE 19801"
"LEMON YELLOW SUN IP, LLC",1213249,2016-07-29,Active,Domestic Limited Liability Company,"717 ATLANTIC ST, C/O TWO BOOTS PIZZA, STAMFORD, CT 06902"
"NEW BRITAIN/BERLIN YELLOW CAB, LLC",1101171,2013-04-15,Active,Domestic Limited Liability Company,"11 ALCAP RIDGE, SUITE D, CROMWELL, CT 06416"
"NORWICH YELLOW CAB, LLC",1101406,2013-04-15,Active,Domestic Limited Liability Company,"11 ALCAP RIDGE, SUITE D, CROMWELL, CT 06416"
"RCI YELLOW MILL, LLC",1178853,2015-06-18,Active,Foreign Limited Liability Company,"300 ALTON ROAD, SUITE 303, MIAMI BEACH, FL 33139"
"THE YELLOW BRICK ROAD CONSULTING, LLC",1192354,2015-12-07,Active,Domestic Limited Liability Company,"43 PROSPECT ST, RIDGEFIELD, CT 06877"
THE YELLOW BRICK ROAD L.L.C.,0777208,2004-03-05,Active,Domestic Limited Liability Company,"1075 MAIN ST, NEWINGTON, CT 06111"
THE YELLOW HOUSE COFFEE CO.,1004309,2010-05-11,Active,Corporation,"149 WATER ST., STONINGTON, CT 06378"
THE YELLOW HOUSE LLC,0815967,2005-03-29,Active,Domestic Limited Liability Company,"C/O JON NEWMAN, 51 CHURCH STREET, GREENWICH, CT 06830"
"THE YELLOW HOUSE WELLNESS, LLC",1184707,2015-08-28,Active,Domestic Limited Liability Company,"3715 MAIN STREET, ROOM 406, BRIDGEPORT, CT 06606"
THE YELLOW STORE LLC,1191108,2015-11-19,Active,Domestic Limited Liability Company,"352 WALNUT STREET, WATERBURY, CT 06704"
"THE YELLOW WOOD, LLC",0800917,2004-11-01,Active,Domestic Limited Liability Company,"2247 EAST MAIN STREET, SUITE 203, WATERBURY, CT 06705"
"WOMEN'S YELLOW PAGES, INC",0530074,1996-01-29,Active,Corporation,
